หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,dname,ประเภทแผนงาน,OBJECTID,AREA,dcode,dname_e,pcode,pname,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
52,สำนักงานเขตราชเทวี,369857500,,รายจ่ายประจำ,369857500,ราชเทวี,ทั่วไป/บริหาร/อื่นๆ,41.0,7167652.0,1037.0,Ratchathewi,10.0,กรุงเทพมหานคร,35190.0,38090.0,4.0,0.0,25.0,4.0,1.0
53,สำนักงานเขตคลองเตย,385862000,,รายจ่ายประจำ,385862000,คลองเตย,ทั่วไป/บริหาร/อื่นๆ,51.0,13240401.0,1033.0,Khlong Toei,10.0,กรุงเทพมหานคร,52428.0,56573.0,4.0,0.0,41.0,3.0,2.0
54,สำนักงานเขตประเวศ,584808000,,รายจ่ายประจำ,584808000,ประเวศ,ทั่วไป/บริหาร/อื่นๆ,54.0,53728764.0,1032.0,Pra Wet,10.0,กรุงเทพมหานคร,76182.0,84634.0,16.0,0.0,42.0,6.0,1.0
55,สำนักงานเขตบางพลัด,311873800,,รายจ่ายประจำ,311873800,บางพลัด,ทั่วไป/บริหาร/อื่นๆ,29.0,11804564.0,1025.0,Bang Phlat,10.0,กรุงเทพมหานคร,45904.0,53249.0,11.0,0.0,46.0,23.0,1.0
56,สำนักงานเขตจอมทอง,396522000,,รายจ่ายประจำ,396522000,จอมทอง,ทั่วไป/บริหาร/อื่นๆ,62.0,23167158.0,1035.0,Chom Thong,10.0,กรุงเทพมหานคร,75840.0,82130.0,11.0,0.0,53.0,16.0,1.0
57,สำนักงานเขตดินแดง,331004000,,รายจ่ายประจำ,331004000,ดินแดง,ทั่วไป/บริหาร/อื่นๆ,34.0,8465891.0,1026.0,Din Daeng,10.0,กรุงเทพมหานคร,60811.0,69391.0,3.0,0.0,22.0,2.0,2.0
58,สำนักงานเขตสวนหลวง,371965000,,รายจ่ายประจำ,371965000,สวนหลวง,ทั่วไป/บริหาร/อื่นๆ,46.0,24113560.0,1034.0,Suanluang,10.0,กรุงเทพมหานคร,53828.0,61903.0,8.0,0.0,46.0,8.0,2.0
59,สำนักงานเขตวัฒนา,341754000,,รายจ่ายประจำ,341754000,วัฒนา,ทั่วไป/บริหาร/อื่นๆ,47.0,12996544.0,1039.0,Vadhana,10.0,กรุงเทพมหานคร,38567.0,43188.0,8.0,0.0,17.0,2.0,1.0
60,สำนักงานเขตบางแค,477760400,,รายจ่ายประจำ,477760400,บางแค,ทั่วไป/บริหาร/อื่นๆ,45.0,47890656.0,1040.0,Bang Khae,10.0,กรุงเทพมหานคร,89905.0,101876.0,12.0,1.0,48.0,5.0,1.0
61,สำนักงานเขตหลักส่ี,346889000,,รายจ่ายประจำ,346889000,หลักสี่,ทั่วไป/บริหาร/อื่นๆ,14.0,22669208.0,1041.0,Lak Si,10.0,กรุงเทพมหานคร,52596.0,57262.0,6.0,0.0,78.0,1.0,1.0
62,สำนักงานเขตสายไหม,418022000,,รายจ่ายประจำ,418022000,สายไหม,ทั่วไป/บริหาร/อื่นๆ,12.0,43612880.0,1042.0,Sai Mai,10.0,กรุงเทพมหานคร,88764.0,99399.0,9.0,0.0,71.0,8.0,1.0
63,สำนักงานเขตคันนายาว,274038900,,รายจ่ายประจำ,274038900,คันนายาว,ทั่วไป/บริหาร/อื่นๆ,21.0,25380514.0,1043.0,Khan Na Yao,10.0,กรุงเทพมหานคร,41238.0,47233.0,2.0,0.0,41.0,2.0,0.0
64,สำนักงานเขตสะพานสูง,335301000,,รายจ่ายประจำ,335301000,สะพานสูง,ทั่วไป/บริหาร/อื่นๆ,37.0,28068656.0,1044.0,Saphan Sung,10.0,กรุงเทพมหานคร,41610.0,48285.0,6.0,0.0,30.0,1.0,1.0
65,สำนักงานเขตวังทองหลาง,328651000,,รายจ่ายประจำ,328651000,วังทองหลาง,ทั่วไป/บริหาร/อื่นๆ,31.0,17075578.0,1045.0,Wang Thong Lang,10.0,กรุงเทพมหานคร,52758.0,61990.0,3.0,0.0,19.0,1.0,0.0
66,สำนักงานเขตคลองสามวา,460117000,,รายจ่ายประจำ,460117000,คลองสามวา,ทั่วไป/บริหาร/อื่นๆ,13.0,120176920.0,1046.0,Khlong Sam Wa,10.0,กรุงเทพมหานคร,80701.0,89028.0,18.0,0.0,81.0,10.0,1.0
67,สำนักงานเขตบางนา,312974000,,รายจ่ายประจำ,312974000,บางนา,ทั่วไป/บริหาร/อื่นๆ,68.0,18947526.0,1047.0,Bang Na,10.0,กรุงเทพมหานคร,45248.0,50607.0,7.0,0.0,39.0,4.0,1.0
68,สำนักงานเขตทวีวัฒนา,376179600,,รายจ่ายประจำ,376179600,ทวีวัฒนา,ทั่วไป/บริหาร/อื่นๆ,32.0,51732144.0,1048.0,Thawi Watthana,10.0,กรุงเทพมหานคร,35487.0,40787.0,7.0,0.0,16.0,3.0,1.0
69,สำนักงานเขตทุ่งครุ,393224000,,รายจ่ายประจำ,393224000,ทุ่งครุ,ทั่วไป/บริหาร/อื่นๆ,72.0,32950616.0,1049.0,Thung khru,10.0,กรุงเทพมหานคร,54909.0,61614.0,8.0,0.0,30.0,4.0,2.0
70,สำนักงานเขตบางบอน,352621000,,รายจ่ายประจำ,352621000,บางบอน,ทั่วไป/บริหาร/อื่นๆ,67.0,35857236.0,1050.0,Bang Bon,10.0,กรุงเทพมหานคร,50478.0,54683.0,9.0,0.0,12.0,3.0,1.0
