หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน
18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ง,แผนงานการกีฬา,564973100
19,สำนักพัฒนาสังคม,424785000,,รายจ่ายประจำ,424785000
19,สำนักพัฒนาสังคม,424785000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการพัฒนาและบริการสังคม,22941600
19,สำนักพัฒนาสังคม,424785000,ข,แผนงานบริการสังคม: งานสวัสดิการสังคม,66178000
19,สำนักพัฒนาสังคม,424785000,ค,แผนงานพัฒนาชุมชน,80444700
19,สำนักพัฒนาสังคม,424785000,ง,แผนงานส่งเสริมอาชีพ,255220700
20,สำนักการวางผังและพัฒนาเมือง,316341000,,รายจ่ายประจำ,316341000
20,สำนักการวางผังและพัฒนาเมือง,316341000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการโยธาและระบบจราจร,25886500
20,สำนักการวางผังและพัฒนาเมือง,316341000,ข,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร,290454500
21,สำนักงานเขตพระนคร,412864000,,รายจ่ายประจำ,412864000
21,สำนักงานเขตพระนคร,412864000,ก,แผนงานบริหารงานปกครองและทะเบียน,26040000
21,สำนักงานเขตพระนคร,412864000,ข,แผนงานบริหารการคลัง,10676100
21,สำนักงานเขตพระนคร,412864000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,192224300
21,สำนักงานเขตพระนคร,412864000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,73902900
21,สำนักงานเขตพระนคร,412864000,จ,แผนงานการโยธา: งานการโยธา,13901000
21,สำนักงานเขตพระนคร,412864000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,8121900
21,สำนักงานเขตพระนคร,412864000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,26083100
21,สำนักงานเขตพระนคร,412864000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,11621000
21,สำนักงานเขตพระนคร,412864000,,งานควบคุมอนามัย,6791400
21,สำนักงานเขตพระนคร,412864000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,43502300
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,รายจ่ายประจำ,252196000
