หมายเลขงบ,ชื่องบ,แผนงาน,ชื่องบแจกแจง,หมายเลขงบแผนงาน,หมายเลขแจกแจงงบ,งบแจกแจง
1,งบกลาง,เงินสำรองจ่ายท่ัวไป,กรณีฉุกเฉินหรือจำเป็น,ก,1,100000000
1,งบกลาง,เงินสำรองจ่ายท่ัวไป,กรณีค่าใช้จ่ายต่าง ๆ เก่ียวกับน้ำท่วม,ก,2,100000000
1,งบกลาง,เงินสำรองจ่ายท่ัวไป,กรณีค่าใช้จ่ายเพื่อการพัฒนากรุงเทพมหานคร,ก,3,286536500
5,สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารท่ัวไป,งานบริหารท่ัวไป,ก,1,212888400
5,สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารท่ัวไป,โครงการพัฒนาระบบสารบรรณอิเล็กทรอนิกส์ของกรุงเทพมหานคร,ก,2,9800000
5,สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารงานบุคคล,งานการเจ้าหน้าท่ี,ง,1,98203100
5,สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารงานบุคคล,โครงการก่อสร้างอาคารสงเคราะห์ข้าราชการและลูกจ้างประจำ ของกรุงเทพมหานครในพื นท่ีเขตบางบอน,ง,2,62266400
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานพัฒนาบุคลากรและองค์การ,จ,1,281244900
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานกฎหมายและคดี,จ,2,38106200
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานประชาสัมพันธ์,จ,3,101478900
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานผู้ตรวจราชการกรุงเทพมหานคร,จ,4,63695700
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานการต่างประเทศ,จ,5,52279700
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลกลาง,ข,1,771780900
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลตากสิน,ข,2,759323000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการก่อสร้างอาคารอเนกประสงค์โรงพยาบาลตากสิน,ข,3,75947000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลเจริญกรุงประชารักษ์,ข,4,760261000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการเพ่ิมศักยภาพหน่วยห้องปฏิบัติการสวนหัวใจและหลอดเลือด โรงพยาบาลเจริญกรุงประชารักษ์,ข,5,27000000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลหลวงพ่อทวีศักด์ิชุตินธโร อุทิศ,ข,6,221608200
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลลาดกระบังกรุงเทพมหานคร,ข,7,162365000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการก่อสร้างอาคารหอผู้ป่วยโรงพยาบาลลาดกระบังกรุงเทพมหานคร,ข,8,1000000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลราชพิพัฒน์,ข,9,268341300
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการก่อสร้างอาคารเวชภัณฑ์กลางและหน่วยงานสนับสนุน โรงพยาบาลราชพิพัฒน์,ข,10,79013000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลสิรินธร,ข,11,436684900
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานบริการการแพทย์ฉุกเฉินกรุงเทพมหานคร,ข,12,55921800
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลเวชการุณย์รัศม์ิ,ข,13,223435200
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลผู้สูงอายุบางขุนเทียน,ข,14,116978800
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการก่อสร้างเข่ือนกั นน้ำเพื่อรองรับการพัฒนาพื นท่ีโรงพยาบาลผู้สูงอายุบางขุนเทียน,ข,15,7000000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลคลองสามวา,ข,16,24678200
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลบางนากรุงเทพมหานคร,ข,17,17420300
7,สำนักอนามัย,แผนงานบริหารท่ัวไป,งานบริหารท่ัวไปด้านการสาธารณสุข,ก,1,44560400
7,สำนักอนามัย,แผนงานบริหารท่ัวไป,งานบริหารการพยาบาล,ก,2,40539700
7,สำนักอนามัย,แผนงานอนามัยส่ิงแวดล้อม,งานสุขาภิบาลส่ิงแวดล้อม,ข,1,28974600
7,สำนักอนามัย,แผนงานอนามัยส่ิงแวดล้อม,งานสุขาภิบาลอาหาร,ข,2,35219900
7,สำนักอนามัย,แผนงานอนามัย,งานเภสัชกรรม,ค,1,138286600
7,สำนักอนามัย,แผนงานอนามัย,งานทันตสาธารณสุข,ค,2,173039300
7,สำนักอนามัย,แผนงานอนามัย,งานป้องกันและบำบัดการติดยาเสพติด,ค,3,63385800
7,สำนักอนามัย,แผนงานอนามัย,งานจัดบริการสาธารณสุข,ค,4,1249899000
7,สำนักอนามัย,แผนงานอนามัย,โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข ราษฏร์บูรณะ,ค,5,398000000
7,สำนักอนามัย,แผนงานอนามัย,โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข คลองขวาง,ค,6,4710000000
7,สำนักอนามัย,แผนงานอนามัย,งานชันสูตรสาธารณสุข,ค,7,54419300
7,สำนักอนามัย,แผนงานอนามัย,งานพัฒนาระบบสาธารณสุข,ค,8,256001400
7,สำนักอนามัย,แผนงานอนามัย,งานสร้างเสริมสุขภาพ,ค,9,108227700
7,สำนักอนามัย,แผนงานอนามัย,งานควบคุมโรคติดต่อ,ค,10,103567500
7,สำนักอนามัย,แผนงานอนามัย,งานสัตวแพทย์สาธารณสุข,ค,11,115710800
7,สำนักอนามัย,แผนงานอนามัย,โครงการก่อสร้างอาคารศูนย์ควบคุมสุนัขกรุงเทพมหานคร (ประเวศ),ค,12,15600000
7,สำนักอนามัย,แผนงานอนามัย,งานควบคุมโรคเอดส์ วัณโรคและโรคติดต่อทางเพศสัมพันธ์,ค,13,28847800
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,งานบริหารท่ัวไปด้านการศึกษา,ก,1,108343488
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนมีนบุรี สำนักงานเขตมีนบุรี,ก,2,524659100
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้นโรงเรียนสุเหร่าบางชัน สำนักงานเขตมีนบุรี,ก,3,512844558
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้นโรงเรียนสุเหร่าคลองหน่ึง (มานะราษฎร์บำรุง)สำนักงานเขตคลองสามวา,ก,4,510265668
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น และปรับปรุงลานอเนกประสงค์ โรงเรียนวัดบางกระด่ี สำนักงานเขตบางขุนเทียน,ก,5,512408000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนคงโครัดอุทิศ สำนักงานเขตบางบอน,ก,6,511580789
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนแย้มจาดวิชชานุสรณ์ สำนักงานเขตบึงกุ่ม,ก,7,58545440
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารอเนกประสงค์  ชั้นโรงเรียนวัดตล่ิงชัน (ป่ินทองสัณฐาคาร)สำนักงานเขตตล่ิงชัน,ก,8,39954000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียนและอาคารประกอบโรงเรียนบ้านขุนประเทศ สำนักงานเขตหนองแขม,ก,9,13090000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารบ้านพักอาศัย  ชั้น โรงเรียนวัดลาดกระบัง (ศีลาภิรัตอุปถัมภ์)สำนักงานเขตลาดกระบัง,ก,10,46852000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียนและอาคารประกอบ โรงเรียนวัดพระยาสุเรนทร์ สำนักงานเขตคลองสามวา,ก,11,11695000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารอเนกประสงค์  ชั้นโรงเรียนซอยแอนเนกซ์ (กาญจนาภิเษก )สำนักงานเขตสายไหม,ก,12,429281999
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนวัดเกาะสุวรรณาราม สำนักงานเขตสายไหม,ก,13,510891000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนวัดหนองจอก (ภักดีนรเศรษฐ)สำนักงานเขตหนองจอก,ก,14,59692000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้นโรงเรียนวัดตะกล่ำ สำนักงานเขตประเวศ,ก,15,510797000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนชูสินทองประดิษฐ์อนุสรณ์ สำนักงานเขตทุ่งครุ,ก,16,56369000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารอเนกประสงค์  ชั้นโรงเรียนประชานุกูล สำนักงานเขตสายไหม,ก,17,35824000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารบ้านพักอาศัย  ชั้นโรงเรียนลำพะอง (ราษฎร์จำเริญบำรุง) สำนักงานเขตลาดกระบัง,ก,18,46840400
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้นโรงเรียนประชาอุทิศ (จันทาบอนุสรณ์) สำนักงานเขตดอนเมือง,ก,19,517560000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนสุเหร่าหะยีมินา สำนักงานเขตหนองจอก,ก,20,517284469
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารบ้านพักอาศัย  ชั้นโรงเรียนวัดพระยาสุเรนทร์ สำนักงานเขตคลองสามวา,ก,21,48670200
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารบ้านพักอาศัย  ชั้น โรงเรียนวัดสามง่าม สำนักงานเขตหนองจอก,ก,22,47513759
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารบ้านพักอาศัย  ชั้นโรงเรียนวัดแป้นทอง (สามวาวิทยา)สำนักงานเขตคลองสามวา,ก,23,48516530
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการปรับปรุงค่ายลูกเสือกรุงเทพมหานคร(พิศลยบุตร),ก,24,24820000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการปรับปรุงค่ายลูกเสือกรุงธน,ก,25,20060000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,งานการเจ้าหน้าท่ี,ก,26,80706500
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,งานบริหารการคลัง,ก,27,36580200
8,สำนักการศึกษา,แผนงานพัฒนาคุณภาพการศึกษา,งานยุทธศาสตร์การศึกษา,ข,1,56023800
8,สำนักการศึกษา,แผนงานพัฒนาคุณภาพการศึกษา,งานพัฒนาเทคโนโลยีการศึกษา,ข,2,26479400
8,สำนักการศึกษา,แผนงานพัฒนาคุณภาพการศึกษา,โครงการพัฒนาระบบคอมพิวเตอร์เพื่อการเรียนรู้ต่อเน่ือง,ข,3,63298900
8,สำนักการศึกษา,แผนงานพัฒนาคุณภาพการศึกษา,โครงการพัฒนาระบบสารสนเทศและเทคโนโลยีการจัดการศึกษา,ข,4,18226400
8,สำนักการศึกษา,แผนงานพัฒนาคุณภาพการศึกษา,โครงการพัฒนาระบบอินเทอร์เน็ตในโรงเรียนสังกัดกรุงเทพมหานคร,ข,5,10700000
8,สำนักการศึกษา,แผนงานพัฒนาคุณภาพการศึกษา,งานพัฒนาการนิเทศการศึกษา,ข,6,394403800
8,สำนักการศึกษา,แผนงานพัฒนาคุณภาพการศึกษา,งานพัฒนาข้าราชการครูและบุคลากรทางการศึกษา,ข,7,146835100
8,สำนักการศึกษา,แผนงานพัฒนาคุณภาพการศึกษา,งานเสริมสร้างสมรรถนะนักเรียน,ข,8,14091300
9,สำนักการโยธา,แผนงานบริหารท่ัวไป,งานบริหารท่ัวไปด้านการโยธาและระบบจราจร,ก,1,101301080
9,สำนักการโยธา,แผนงานบริหารท่ัวไป,งานแผนงานและประสานสาธารณูปโภค,ก,2,32748900
9,สำนักการโยธา,แผนงานการโยธา,งานสำรวจออกแบบและก่อสร้าง,ข,1,218440300
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างปรับปรุงซอยพระรามท่ี  ซอย,ข,2,28252000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างศูนย์เวชศาสตร์การกีฬาและเวชศาสตร์ฟ้ืนฟูหอพักแพทย์ หอพักพยาบาล และอาคารจอดรถยนต์ โรงพยาบาลเจริญกรุงประชารักษ์,ข,3,254164370
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างอาคารศูนย์สุขภาพโรงพยาบาลเวชการุณย์รัศม์ิ,ข,4,45522000
9,สำนักการโยธา,แผนงานการโยธา,โครงการจ้างท่ีปรึกษาควบคุมการก่อสร้างโครงการต่อขยายสะพานอรุณอมรินทร์พร้อมทางขึ น-ลงและทางยกระดับข้ามแยกศิริราช,ข,5,8571350
9,สำนักการโยธา,แผนงานการโยธา,โครงการปรับปรุงถนนประชาร่วมใจ-ถนนมิตรไมตรี,ข,6,158500000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างปรับปรุงถนนคุ้มเกล้า,ข,7,429313500
9,สำนักการโยธา,แผนงานการโยธา,งานควบคุมอาคาร,ข,8,45102900
9,สำนักการโยธา,แผนงานการโยธา,งานควบคุมการก่อสร้าง,ข,9,72415400
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างศูนย์บริการสาธารณสุข  โพธ์ิศรี,ข,10,3425181200
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างสะพานข้ามแยก ณ ระนอง,ข,11,255000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างทางลอดรัชดา - ราชพฤกษ์,ข,12,170097100
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างปรับปรุงถนนสามวา,ข,13,27550000
9,สำนักการโยธา,แผนงานการโยธา,โครงการต่อเช่ือมถนนกาญจนาภิเษก-ถนนพุทธมณฑลสาย,ข,14,2385000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างปรับปรุงถนนศาลาธรรมสพน์จากถนนพุทธมณฑลสาย  ถึงถนนทวีวัฒนา,ข,15,292403800
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข บางซ่ือ,ข,16,360379700
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข ล้อม-พิมเสน ฟักอุดม,ข,17,5815900000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างปรับปรุงถนนและก่อสร้างทางยกระดับข้ามแยกถาวรธวัชและถนนซอยรามคำแหง,ข,18,2430000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างปรับปรุงถนนแสมดำช่วงจากถนนพระรามท่ี  ถึงคลองสนามชัย,ข,19,220000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างถนนเลียบคลองบางเขนเช่ือมถนนวิภาวดีรังสิตกับถนนพหลโยธิน,ข,20,31000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างปรับปรุงถนนเทิดราชัน Sta+ ถึงถนนเชิดวุฒากาศ,ข,21,293515000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการปรับปรุงอาคารธานีนพรัตน์ ศาลาว่าการกรุงเทพมหานคร  ดินแดง,ข,22,250000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการทางหลวงท้องถ่ินสายเช่ือมระหว่างถนนวิภาวดีรังสิตกับถนนพหลโยธิน ช่วงท่ี จากถนนวิภาวดีรังสิตถึงสะพานข้ามคลองลาดพร้าว,ข,23,160000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการทางหลวงท้องถ่ินสายเช่ือมระหว่างถนนวิภาวดีรังสิตกับถนนพหลโยธิน ช่วงท่ี  จากสะพานข้ามคลองลาดพร้าวถึงถนนเทพรักษ์,ข,24,260000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการปรับปรุงและพัฒนาศูนย์บริการผู้สูงอายุดินแดง,ข,25,18224000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างปรับปรุงถนนไมตรีจิต ช่วงจากซอยไมตรีจิต ถึงถนนคลองเก้า,ข,26,3840000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการต่อเช่ือมถนนพุทธมณฑลสาย  - ถนนพุทธมณฑลสาย,ข,27,23155000000
9,สำนักการโยธา,แผนงานการโยธา,โครงการก่อสร้างอุโมงค์ทางเดินลอด,ข,28,
9,สำนักการโยธา,ถนนหน้าพระลาน,โครงการก่อสร้างอุโมงค์ทางเดินลอด ถนนมหาราช,,29,8000000
9,สำนักการโยธา,ถนนหน้าพระลาน,งานวิเคราะห์และวิจัย,,30,29280000
9,สำนักการโยธา,ถนนหน้าพระลาน,งานสำรวจและแผนท่ีท่ีดิน,,31,34061900
9,สำนักการโยธา,ถนนหน้าพระลาน,งานจัดกรรมสิทธ์ิ,,32,4427336100
9,สำนักการโยธา,ถนนหน้าพระลาน,งานวิศวกรรมทาง,,33,203237100
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,งานก่อสร้างและบูรณะ,ค,1,1317433000
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการปรับปรุงสะพานพระราม,ค,2,833213000
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการปรับปรุงทางเท้าถนนประชาอุทิศ ช่วงจากถนนสุขสวัสด์ิถึงสุดเขตกรุงเทพมหานคร พื นท่ีเขตราษฎร์บูรณะและเขตทุ่งครุ,ค,3,34500000
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการปรับปรุงถนนบางเชือกหนัง ช่วงจากถนนพุทธมณฑลสาย  ถึงถนนตัดใหม่ พื นท่ีเขตตล่ิงชัน,ค,4,136762100
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการปรับปรุงภูมิทัศน์ถนนพหลโยธิน ช่วงจากห้าแยกลาดพร้าวถึงอนุสาวรีย์ชัยสมรภูมิ พื นท่ีเขตจตุจักรและเขตพญาไท,ค,5,38242200
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการปรับปรุงสะพานข้ามคลองพระโขนง,ค,6,34698000
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการปรับปรุงถนนหลวงแพ่ง ช่วงจากคลองพระยาเพชรถึงคลองกาหลง (สุดเขตกรุงเทพมหานคร)พื นท่ีเขตลาดกระบัง,ค,7,26439000
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการปรับปรุงถนนทวีวัฒนา-กาญจนาภิเษกช่วงจากถนนพุทธมณฑลสาย  ถึงซอยทวีวัฒนา-กาญจนาภิเษก  พื นท่ีเขตทวีวัฒนา,ค,8,33024610000
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการปรับปรุงและเสริมกำลังสะพานข้ามคลองในพื นท่ีความรับผิดชอบของศูนย์ก่อสร้างและบูรณะถนน  ส่วนก่อสร้างและบูรณะ,ค,9,3143230000
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการจัดหาเคร่ืองผลิตแอสฟัลต์ชนิดเคล่ือนย้ายได้ (Mobile Asphalt Plant),ค,10,1000000
9,สำนักการโยธา,แผนงานพัฒนาการโยธาและระบบจราจร,โครงการจัดหาเคร่ืองฉีดล้างทำความสะอาดแรงดันสูง ติดตั้งบนเทรลเลอร์ชนิดลากจูง,ค,11,1000000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,งานพัฒนาระบบระบายน้ำ,ข,1,355773300
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการก่อสร้างอุโมงค์ระบายน้ำจากบึงหนองบอนลงสู่แม่น้ำเจ้าพระยา,ข,2,1200000000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการจ้างท่ีปรึกษาควบคุมการก่อสร้างโครงการก่อสร้างอุโมงค์ระบายน้ำจากบึงหนองบอนลงสู่แม่น้ำเจ้าพระยา,ข,3,15000000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการปรับปรุงแนวป้องกันน้ำท่วมริมแม่น้ำเจ้าพระยาบริเวณซอยราษฎร์บูรณะ,ข,4,312315026
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการก่อสร้างแก้มลิงสวนเบญจกิติ,ข,5,30000000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการก่อสร้างอุโมงค์ระบายน้ำคลองเปรมประชากรจากคลองบางบัวลงสู่แม่น้ำเจ้าพระยา,ข,6,432000000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการจ้างท่ีปรึกษาควบคุมการก่อสร้างโครงการก่อสร้างอุโมงค์ระบายน้ำคลองเปรมประชากรจากคลองบางบัวลงสู่แม่น้ำเจ้าพระยา,ข,7,6000000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการก่อสร้างอุโมงค์ระบายน้ำคลองทวีวัฒนา บริเวณคอขวด,ข,8,166815000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการจ้างท่ีปรึกษาควบคุมการก่อสร้างโครงการก่อสร้างอุโมงค์ระบายน้ำคลองทวีวัฒนาบริเวณคอขวด,ข,9,2500000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการก่อสร้างอุโมงค์ระบายน้ำคลองแสนแสบจากอุโมงค์ระบายน้ำคลองแสนแสบและคลองลาดพร้าวถึงบริเวณซอยลาดพร้าว,ข,10,130127575000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการจ้างท่ีปรึกษาควบคุมการก่อสร้าง โครงการก่อสร้างอุโมงค์ระบายน้ำคลองแสนแสบจากอุโมงค์ระบายน้ำคลองแสนแสบและคลองลาดพร้าวถึงบริเวณซอยลาดพร้าว,ข,11,1302500000
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,งานสารสนเทศระบายน้ำ,ข,12,102793500
10,สำนักการระบายน้ำ,แผนงานพัฒนาระบบระบายน้ำ,โครงการจัดทำและพัฒนาระบบการบริหารจัดการน้ำเชิงรุก,ข,13,46000000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,งานเคร่ืองจักรกล,ค,1,253888900
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,งานระบบควบคุมน้ำ,ค,2,875447100
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการเดินระบบ บำรุงรักษาและบริหารจัดการอุโมงค์ระบายน้ำจากบึงมักกะสันลงสู่แม่น้ำเจ้าพระยา(ระยะท่ี ),ค,3,290550000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการปรับปรุงเพ่ิมประสิทธิภาพสถานีสูบน้ำหน้า สน หัวหมาก,ค,4,44100000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการปรับปรุงเพ่ิมประสิทธิภาพสถานีสูบน้ำคลองห้วยขวาง,ค,5,45000000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการปรับปรุงเพ่ิมประสิทธิภาพสถานีสูบน้ำคลองบางนางจีน,ค,6,40500000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการปรับปรุงเพ่ิมประสิทธิภาพสถานีสูบน้ำคลองจิก,ค,7,10000000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการปรับปรุงเพ่ิมประสิทธิภาพสถานีสูบน้ำคลองจิต,ค,8,10000000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการปรับปรุงเพ่ิมประสิทธิภาพสถานีสูบน้ำคลองบ้านหลาย,ค,9,12000000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการปรับปรุงเพ่ิมประสิทธิภาพสถานีสูบน้ำคลองเตย,ค,10,34000000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,งานระบบท่อระบายน้ำ,ค,11,775007100
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,งานระบบคลอง,ค,12,408475770
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการก่อสร้างเข่ือน คสล คลองบ้านหลายจากเข่ือนเดิมบริเวณคลองขวางล่างถึงเข่ือนเดิมบริเวณซอยวชิรธรรมสาธิต  (ครั้งท่ี ),ค,13,55240000000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการก่อสร้างเข่ือน คสล ลำรางสาธารณะ  จากถนนลาดพร้าวถึงคลองตาหนัง (ครั้งท่ี ),ค,14,17215000000
10,สำนักการระบายน้ำ,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,โครงการปรับปรุงเข่ือน คสล คลองน้ำแก้ว จากคลองพญาเวิกถึงคลองลาดพร้าว,ค,15,30000000
