หมายเลขงบ,ชื่องบ,ประเภทแผนงาน,dname,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,OBJECTID,AREA,dcode,dname_e,pcode,pname,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
23,สำนักงานเขตสัมพันธวงศ์,อนามัย/สาธารณะสุข,สัมพันธวงศ์,208176600,,งานควบคุมอนามัย,4806100,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,โยธา/ก่อสร้าง/จราจร,สัมพันธวงศ์,208176600,จ,แผนงานการโยธา: งานการโยธา,20484200,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
24,สำนักงานเขตบางรัก,น้ำท่วม/ทางเท้า,บางรัก,246445000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,7340800,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
24,สำนักงานเขตบางรัก,การศึกษา,บางรัก,246445000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,18146120,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
24,สำนักงานเขตบางรัก,เทศกิจ/รักษาความสะอาด,บางรัก,246445000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,113844780,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
24,สำนักงานเขตบางรัก,การคลัง,บางรัก,246445000,ข,แผนงานบริหารการคลัง,11550600,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
24,สำนักงานเขตบางรัก,อนามัย/สาธารณะสุข,บางรัก,246445000,,งานควบคุมอนามัย,5263800,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
24,สำนักงานเขตบางรัก,โยธา/ก่อสร้าง/จราจร,บางรัก,246445000,จ,แผนงานการโยธา: งานการโยธา,19772600,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
24,สำนักงานเขตบางรัก,พัฒนาชุมชน/อาชีพ,บางรัก,246445000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,14167800,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
24,สำนักงานเขตบางรัก,ทั่วไป/บริหาร/อื่นๆ,บางรัก,246445000,ก,แผนงานบริหารงานปกครองและทะเบียน,22322100,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
24,สำนักงานเขตบางรัก,สิ่งแวดล้อม,บางรัก,246445000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,12075400,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
24,สำนักงานเขตบางรัก,เทศกิจ/รักษาความสะอาด,บางรัก,246445000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,21961000,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
25,สำนักงานเขตปทุมวัน,สิ่งแวดล้อม,ปทุมวัน,354141000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,19880700,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
25,สำนักงานเขตปทุมวัน,อนามัย/สาธารณะสุข,ปทุมวัน,354141000,,งานควบคุมอนามัย,5735000,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
25,สำนักงานเขตปทุมวัน,เทศกิจ/รักษาความสะอาด,ปทุมวัน,354141000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,24010200,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
25,สำนักงานเขตปทุมวัน,การศึกษา,ปทุมวัน,354141000,ญ,แผนงานบริหารการศึกษา,50339000,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
25,สำนักงานเขตปทุมวัน,ทั่วไป/บริหาร/อื่นๆ,ปทุมวัน,354141000,ก,แผนงานบริหารงานปกครองและทะเบียน,38812200,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
25,สำนักงานเขตปทุมวัน,การคลัง,ปทุมวั��,354141000,ข,แผนงานบริหารการคลัง,9623900,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
25,สำนักงานเขตปทุมวัน,โยธา/ก่อสร้าง/จราจร,ปทุมวัน,354141000,จ,แผนงานการโยธา: งานการโยธา,23082000,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
25,สำนักงานเขตปทุมวัน,พัฒนาชุมชน/อาชีพ,ปทุมวัน,354141000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,26464000,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
25,สำนักงานเขตปทุมวัน,เทศกิจ/รักษาความสะอาด,ปทุมวัน,354141000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,150362600,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
25,สำนักงานเขตปทุมวัน,น้ำท่วม/ทางเท้า,ปทุมวัน,354141000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,5831400,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
26,สำนักงานเขตยานนาวา,ทั่วไป/บริหาร/อื่นๆ,ยานนาวา,310196614,ก,แผนงานบริหารงานปกครองและทะเบียน,27628700,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
26,สำนักงานเขตยานนาวา,สิ่งแวดล้อม,ยานนาวา,310196614,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,20063000,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
26,สำนักงานเขตยานนาวา,การคลัง,ยานนาวา,310196614,ข,แผนงานบริหารการคลัง,10636875,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
26,สำนักงานเขตยานนาวา,เทศกิจ/รักษาความสะอาด,ยานนาวา,310196614,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,130687300,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
26,สำนักงานเขตยานนาวา,เทศกิจ/รักษาความสะอาด,ยานนาวา,310196614,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,13696300,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
26,สำนักงานเขตยานนาวา,โยธา/ก่อสร้าง/จราจร,ยานนาวา,310196614,จ,แผนงานการโยธา: งานการโยธา,12713000,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
26,สำนักงานเขตยานนาวา,อนามัย/สาธารณะสุข,ยานนาวา,310196614,,งานควบคุมอนามัย,5277485,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
26,สำนักงานเขตยานนาวา,พัฒนาชุมชน/อาชีพ,ยานนาวา,310196614,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,19715600,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
26,สำนักงานเขตยานนาวา,การศึกษา,ยานนาวา,310196614,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,35796700,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
26,สำนักงานเขตยานนาวา,น้ำท่วม/ทางเท้า,ยานนาวา,310196614,ฉ,แผนงานจัดการระบายน้าและแก้ไขปัญหาน้าท่วม,33981654,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
27,สำนักงานเขตดุสิต,ทั่วไป/บริหาร/อื่นๆ,ดุสิต,401245000,ก,แผนงานบริหารงานปกครองและทะเบียน,44663100,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
27,สำนักงานเขตดุสิต,การคลัง,ดุสิต,401245000,ข,แผนงานบริหารการคลัง,11408200,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
27,สำนักงานเขตดุสิต,การศึกษา,ดุสิต,401245000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,56991700,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
27,สำนักงานเขตดุสิต,สิ่งแวดล้อม,ดุสิต,401245000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,22129400,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
27,สำนักงานเขตดุสิต,เทศกิจ/รักษาความสะอาด,ดุสิต,401245000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,173520000,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
27,สำนักงานเขตดุสิต,ทั่วไป/บริหาร/อื่นๆ,ดุสิต,401245000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,32906800,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
27,สำนักงานเขตดุสิต,อนามัย/สาธารณะสุข,ดุสิต,401245000,,งานควบคุมอนามัย,6467800,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
27,สำนักงานเขตดุสิต,น้ำท่วม/ทางเท้า,ดุสิต,401245000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,15364700,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
27,สำนักงานเขตดุสิต,พัฒนาชุมชน/อาชีพ,ดุสิต,401245000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,24394700,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
