Unnamed: 0,หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,dname,province,zipcode,latitude,longitude,AREA,dcode,dname_e,pcode,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,ประเภทแผนงาน
488,58,สำนักงานเขตสวนหลวง,371965000,ก,แผนงานบริหารงานปกครองและทะเบียน,27204700,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
489,58,สำนักงานเขตสวนหลวง,371965000,ข,แผนงานบริหารการคลัง,11602800,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,การคลัง
490,58,สำนักงานเขตสวนหลวง,371965000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,133244700,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
491,58,สำนักงานเขตสวนหลวง,371965000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,19177700,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
492,58,สำนักงานเขตสวนหลวง,371965000,จ,แผนงานการโยธา: งานการโยธา,25281100,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
493,58,สำนักงานเขตสวนหลวง,371965000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,19141800,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,น้ำท่วม/ทางเท้า
494,58,สำนักงานเขตสวนหลวง,371965000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,23565000,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,สิ่งแวดล้อม
495,58,สำนักงานเขตสวนหลวง,371965000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,36658600,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
496,58,สำนักงานเขตสวนหลวง,371965000,,งานควบคุมอนามัย,6171300,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,อนามัย/สาธารณะสุข
497,58,สำนักงานเขตสวนหลวง,371965000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,69917300,สวนหลวง,กรุงเทพมหานคร,10250.0,13.725999999999999,100.62799999999999,,,,,,,,,,,,การศึกษา
498,59,สำนักงานเขตวัฒนา,341754000,,รายจ่ายประจำ,341754000,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
499,59,สำนักงานเขตวัฒนา,341754000,ก,แผนงานบริหารงานปกครองและทะเบียน,32624000,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
500,59,สำนักงานเขตวัฒนา,341754000,ข,แผนงานบริหารการคลัง,11486300,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,การคลัง
501,59,สำนักงานเขตวัฒนา,341754000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,137194100,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
502,59,สำนักงานเขตวัฒนา,341754000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,20076300,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
503,59,สำนักงานเขตวัฒนา,341754000,จ,แผนงานการโยธา: งานการโยธา,45319600,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
504,59,สำนักงานเขตวัฒนา,341754000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,10265700,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,น้ำท่วม/ทางเท้า
505,59,สำนักงานเขตวัฒนา,341754000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,12906200,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,สิ่งแวดล้อม
506,59,สำนักงานเขตวัฒนา,341754000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,13428600,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
507,59,สำนักงานเขตวัฒนา,341754000,,งานควบคุมอนามัย,7651200,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,อนามัย/สาธารณะสุข
508,59,สำนักงานเขตวัฒนา,341754000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,50802000,วัฒนา,กรุงเทพมหานคร,10110.0,13.743,100.56,,,,,,,,,,,,การศึกษา
509,60,สำนักงานเขตบางแค,477760400,,รายจ่ายประจำ,477760400,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
510,60,สำนักงานเขตบางแค,477760400,ก,แผนงานบริหารงานปกครองและทะเบียน,26959100,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
