หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,งบแผนงาน,ประเภทแผนงาน,แผนงาน
15,สำนักงบประมาณกรุงเทพมหานคร,103406000,ก,41802900,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป
15,สำนักงบประมาณกรุงเทพมหานคร,103406000,ข,61603100,การคลัง,แผนงานบริหารการคลัง: งานงบประมาณ
16,สำนักยุทธศาสตร์และประเมินผล,706753000,,706753000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
16,สำนักยุทธศาสตร์และประเมินผล,706753000,ก,17628300,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป
16,สำนักยุทธศาสตร์และประเมินผล,706753000,ข,663090300,ทั่วไป/บริหาร/อื่นๆ,แผนงานส่งเสริมระบบบริหาร
16,สำนักยุทธศาสตร์และประเมินผล,706753000,ค,26034400,โยธา/ก่อสร้าง/จราจร,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร: งานสารสนเทศภูมิศาสตร์
17,สำนักส่ิงแวดล้อม,7542229000,,7542229000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
17,สำนักส่ิงแวดล้อม,7542229000,ก,75096550,เทศกิจ/รักษาความสะอาด,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการรักษาความสะอาด
17,สำนักส่ิงแวดล้อม,7542229000,ข,53280813,เทศกิจ/รักษาความสะอาด,แผนงานพัฒนาและส่งเสริม
17,สำนักส่ิงแวดล้อม,7542229000,ค,5955074487,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด
17,สำนักส่ิงแวดล้อม,7542229000,,587193800,เทศกิจ/รักษาความสะอาด,อย่างถูกสุขลักษณะ
17,สำนักส่ิงแวดล้อม,7542229000,,1000000,เทศกิจ/รักษาความสะอาด,อย่างถูกหลักสุขาภิบาล
17,สำนักส่ิงแวดล้อม,7542229000,ง,1458777150,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม
18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,,1397374600,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ก,70225400,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการพัฒนาและบริการสังคม
18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ข,681076700,พัฒนาชุมชน/อาชีพ,แผนงานบริการสังคม
18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ค,81099400,ท่องเที่ยว/กีฬา,แผนงานการท่องเท่ียว: งานวัฒนธรรมและการท่องเท่ียว
